name,symbol,category
Indonesian Paradise Property T,INPP.JK,Unknown
Toba Pulp Lestari Tbk.,INRU.JK,Unknown
Intraco Penta Tbk.,INTA.JK,Unknown
Inter Delta Tbk,INTD.JK,Unknown
Indocement Tunggal Prakarsa Tb,INTP.JK,Unknown
Indopoly Swakarsa Industry Tbk,IPOL.JK,Unknown
Indosat Tbk.,ISAT.JK,Unknown
Steel Pipe Industry of Indones,ISSP.JK,Unknown
Sumber Energi Andalan Tbk.,ITMA.JK,Unknown
Indo Tambangraya Megah Tbk.,ITMG.JK,Unknown
Jaya Agra Wattie Tbk.,JAWA.JK,Unknown
Jembo Cable Company Tbk.,JECC.JK,Unknown
Jakarta International Hotels &,JIHD.JK,Unknown
Jaya Konstruksi Manggala Prata,JKON.JK,Unknown
Jakarta Kyoei Steel Works Tbk.,JKSW.JK,Unknown
Japfa Comfeed Indonesia Tbk.,JPFA.JK,Unknown
Jaya Real Property Tbk.,JRPT.JK,Unknown
Kedawung Setia Industrial Tbk.,KDSI.JK,Unknown
Keramika Indonesia Assosiasi T,KIAS.JK,Unknown
Kedaung Indah Can Tbk,KICI.JK,Unknown
Kawasan Industri Jababeka Tbk.,KIJA.JK,Unknown
Resource Alam Indonesia Tbk.,KKGI.JK,Unknown
Kalbe Farma Tbk.,KLBF.JK,Unknown
Kobexindo Tractors Tbk.,KOBX.JK,Unknown
Kokoh Inti Arebama Tbk,KOIN.JK,Unknown
Perdana Bangun Pusaka Tbk,KONI.JK,Unknown
Mitra Energi Persada Tbk.,KOPI.JK,Unknown
MNC Land Tbk.,KPIG.JK,Unknown
Grand Kartech Tbk.,KRAH.JK,Unknown
Krakatau Steel (Persero) Tbk.,KRAS.JK,Unknown
Kresna Graha Investama Tbk.,KREN.JK,Unknown
Leyand International Tbk.,LAPD.JK,Unknown
Eureka Prima Jakarta Tbk.,LCGP.JK,Unknown
Logindo Samudramakmur Tbk.,LEAD.JK,Unknown
Link Net Tbk.,LINK.JK,Unknown
Lion Metal Works Tbk.,LION.JK,Unknown
Limas Indonesia Makmur Tbk,LMAS.JK,Unknown
Langgeng Makmur Industri Tbk.,LMPI.JK,Unknown
Lionmesh Prima Tbk.,LMSH.JK,Unknown
Lippo Cikarang Tbk,LPCK.JK,Unknown
